,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1574,AA0002133234,교육/보건,교육시설,대학교,종합대학,부속시설,학부생관악사후생관,196376.034702,440499.61645900004,37.46391193606083,126.95903642069717
1575,AA0010766639,산업,서비스산업,언론/미디어,음반/비디오,,팀브이씨앤씨,205018.487559,448958.82026099996,37.54012330148699,127.05678428130578
1576,AA0000555012,산업,서비스산업,금융/보험업,일반은행,국민은행,KB국민은행,210770.636896,447856.95174,37.53014624707644,127.12185370607945
1577,AA0003152146,산업,서비스산업,언론/미디어,음반/비디오,,MtoU레코드,194378.87135,450739.950817,37.55616778003777,126.9363831899199
1578,AA0006563278,교육/보건,보건시설,한의원,,,소우주한의원,202844.154282,445849.04031300003,37.512113389875324,127.03216963011747
1579,AA0006495992,산업,서비스산업,종합상품판매업,편의점,CU,씨유,184476.09997,443592.626275,37.491656936698995,126.82446040313523
1580,AA0000089726,교육/보건,보건시설,기타보건시설,약국,지역약국,만나약국,201062.32929000002,444743.142706,37.50215296648663,127.01201418665185
1581,AA0002114441,교육/보건,교육시설,중등교육기관,공립중학교,,강신중학교,185749.68356,446208.368341,37.51524534584172,126.83881098946692
1582,AA0009181473,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,207262.245857,456127.59991800005,37.604698647487034,127.08224342555216
1583,AA0006512478,산업,서비스산업,종합상품판매업,편의점,미분류,이삭,211133.396895,448682.21138100006,37.537577520402586,127.12597029183793
1584,AA0005535285,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,201924.914878,454102.39436800004,37.586478361896155,127.021793948309
1585,AA0001252396,레저/관광/예술,문화/예술시설,공연/연극장,소극장,,영산양재홀,203397.012359,442338.594858,37.48048217994687,127.03840668891355
1586,AA0006788963,산업,서비스산업,언론/미디어,기타언론/미디어,,엘카노,192501.508668,450484.87075,37.553856157503425,126.91513886727903
1587,AA0000046956,교육/보건,교육시설,유아교육기관,어린이집,,청진어린이집,194576.90687,441900.608047,37.476526213279264,126.9386896357421
1588,AA0003720713,산업,서비스산업,종합상품판매업,할인매장,홈플러스,홈플러스,203837.32011099998,462805.00223900005,37.66488171229524,127.04349191873057
1589,AA0002131960,교육/보건,교육시설,대학교,종합대학,캠퍼스,홍익대학교대학로캠퍼스,200129.07515699998,453000.408721,37.576551544020994,127.00146119907625
1590,AA0006717648,산업,서비스산업,언론/미디어,음반/비디오,,짱구비디오,201870.523275,451916.247591,37.566781415207984,127.02117254713873
1591,AA0000045942,교육/보건,교육시설,유아교육기관,어린이집,,현일어린이집,190176.08378299998,444376.188583,37.49879505947155,126.88890350681623
1592,AA0002133078,교육/보건,교육시설,대학교,종합대학,부속시설,정보과학관,196450.11844700002,443880.31504099997,37.494372625010485,126.95985753709857
1593,AA0006564650,교육/보건,보건시설,한의원,,,우리한의원,211828.833694,449217.12313,37.5423884064392,127.13384749933157
